edep_keV,y_keV_um,z_mGy
0.048344,0.012086,0.0684858
0.374246,0.0935616,0.53017
6.84771,1.71193,9.70071
2.53796,0.634489,3.59536
8.32459,2.08115,11.7929
0.436673,0.109168,0.618606
8.32806,2.08202,11.7978
1.03046,0.257614,1.45978
0.908354,0.227088,1.28681
0.165955,0.0414888,0.235098
0.244743,0.0611859,0.346712
0.315023,0.0787557,0.446272
0.467881,0.11697,0.662817
0.889631,0.222408,1.26028
8.32532,2.08133,11.7939
0.318549,0.0796374,0.451268
8.32703,2.08176,11.7964
0.430234,0.107558,0.609484
4.54194,1.13549,6.43428
8.32704,2.08176,11.7964
1.02908,0.25727,1.45783
0.222832,0.0557079,0.315671
0.699851,0.174963,0.991433
8.3245,2.08112,11.7928
8.3281,2.08202,11.7979
1.38022,0.345055,1.95527
0.890086,0.222522,1.26093
0.11189,0.0279724,0.158507
8.32451,2.08113,11.7928
0.615131,0.153783,0.871416
0.877622,0.219406,1.24327
0.0344114,0.00860284,0.0487483
2.26373,0.565932,3.20688
0.209124,0.0522809,0.296252
2.01502,0.503754,2.85454
8.32726,2.08182,11.7967
1.5,0.375001,2.12496
8.32603,2.08151,11.7949
0.309161,0.0772902,0.437968
8.32818,2.08205,11.798
8.32747,2.08187,11.797
8.32556,2.08139,11.7943
8.32744,2.08186,11.7969
0.468775,0.117194,0.664083
4.51565,1.12891,6.39702
0.689244,0.172311,0.976407
8.32656,2.08164,11.7957
8.32638,2.0816,11.7954
0.142118,0.0355294,0.201329
8.32722,2.0818,11.7966
1.11302,0.278256,1.57675
0.181644,0.0454109,0.257323
1.03059,0.257648,1.45997
8.3288,2.0822,11.7989
0.667288,0.166822,0.945303
0.134361,0.0335904,0.190341
1.56423,0.391058,2.21595
8.3254,2.08135,11.7941
4.96151,1.24038,7.02865
0.291834,0.0729585,0.413422
0.964071,0.241018,1.36574
1.96671,0.491678,2.78611
0.890994,0.222748,1.26221
0.890646,0.222661,1.26172
1.51695,0.379238,2.14897
0.660533,0.165133,0.935734
0.908824,0.227206,1.28747
0.294646,0.0736615,0.417406
8.32531,2.08133,11.7939
0.890596,0.222649,1.26165
8.32868,2.08217,11.7987
0.362261,0.0905651,0.513191
8.32611,2.08153,11.7951
4.20208,1.05052,5.95281
8.32549,2.08137,11.7942
0.185345,0.0463363,0.262567
0.424438,0.10611,0.601274
0.5572,0.1393,0.789349
0.908438,0.22711,1.28693
11.9029,2.97572,16.862
1.74818,0.437045,2.47653
0.363304,0.090826,0.514669
0.0760193,0.0190048,0.107692
0.890737,0.222684,1.26185
0.89103,0.222757,1.26226
0.908433,0.227108,1.28692
0.227865,0.0569662,0.322801
0.300236,0.0750591,0.425326
0.416904,0.104226,0.5906
0.174749,0.0436873,0.247556
1.23587,0.308968,1.75078
4.81639,1.2041,6.82307
1.02983,0.257458,1.45889
8.32789,2.08197,11.7976
0.0761752,0.0190438,0.107912
0.889812,0.222453,1.26054
8.32447,2.08112,11.7927
0.350739,0.0876848,0.496869
8.32346,2.08086,11.7913
